,As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition,Number of cases tested positive for SARS-CoV-2 virus by nucleic acid tests,Number of cases tested positive for SARS-CoV-2 virus by rapid antigen tests
0,08/01/2020,12:00,0.0,21.0,17.0,38.0,0,0,0.0,,,
1,09/01/2020,12:00,0.0,25.0,23.0,48.0,0,0,0.0,,,
2,10/01/2020,12:00,0.0,31.0,23.0,54.0,0,0,0.0,,,
3,11/01/2020,12:00,0.0,46.0,15.0,61.0,0,0,0.0,,,
4,12/01/2020,12:00,0.0,51.0,16.0,67.0,0,0,0.0,,,
5,13/01/2020,12:00,0.0,56.0,12.0,68.0,0,0,0.0,,,
6,14/01/2020,12:00,0.0,60.0,11.0,71.0,0,0,0.0,,,
7,15/01/2020,12:00,0.0,66.0,10.0,76.0,0,0,0.0,,,
8,16/01/2020,12:00,0.0,71.0,7.0,78.0,0,0,0.0,,,
9,17/01/2020,12:00,0.0,75.0,6.0,81.0,0,0,0.0,,,
10,18/01/2020,12:00,0.0,76.0,14.0,90.0,0,0,0.0,,,
11,19/01/2020,12:00,0.0,80.0,19.0,99.0,0,0,0.0,,,
12,20/01/2020,12:00,0.0,81.0,25.0,106.0,0,0,0.0,,,
13,21/01/2020,12:00,0.0,88.0,30.0,118.0,0,0,0.0,,,
14,22/01/2020,12:00,0.0,97.0,38.0,135.0,0,0,0.0,,,
15,23/01/2020,12:00,2.0,109.0,65.0,176.0,0,0,0.0,,,
16,24/01/2020,12:00,5.0,122.0,117.0,244.0,0,0,0.0,,,
17,25/01/2020,12:00,5.0,163.0,137.0,305.0,0,0,0.0,,,
18,26/01/2020,12:00,8.0,219.0,155.0,382.0,0,0,0.0,,,
19,27/01/2020,12:00,8.0,276.0,167.0,451.0,0,0,0.0,,,
20,28/01/2020,12:00,8.0,332.0,189.0,529.0,0,0,0.0,,,
21,29/01/2020,12:00,10.0,416.0,159.0,585.0,0,0,0.0,,,
22,30/01/2020,23:59,12.0,478.0,191.0,680.0,0,0,0.0,,,
23,31/01/2020,12:00,13.0,550.0,203.0,766.0,0,0,0.0,,,
24,01/02/2020,23:59,14.0,634.0,188.0,835.0,0,0,0.0,,,
25,02/02/2020,12:00,15.0,699.0,168.0,882.0,0,0,0.0,,,
26,03/02/2020,12:00,15.0,744.0,159.0,918.0,0,0,0.0,,,
27,04/02/2020,23:59,18.0,808.0,157.0,982.0,1,0,0.0,,,
28,05/02/2020,12:00,21.0,868.0,154.0,1043.0,1,0,0.0,,,
29,06/02/2020,23:59,24.0,920.0,158.0,1100.0,1,0,0.0,,,
30,07/02/2020,23:59,26.0,975.0,158.0,1158.0,1,0,0.0,,,
31,08/02/2020,12:00,26.0,1035.0,141.0,1202.0,1,0,0.0,,,
32,09/02/2020,12:00,36.0,1066.0,129.0,1231.0,1,0,0.0,,,
33,10/02/2020,23:59,42.0,1089.0,143.0,1273.0,1,0,0.0,,,
34,11/02/2020,23:59,49.0,1123.0,154.0,1325.0,1,0,0.0,,,
35,12/02/2020,12:00,50.0,1164.0,170.0,1384.0,1,1,0.0,,,
36,13/02/2020,12:00,53.0,1222.0,161.0,1436.0,1,1,0.0,,,
37,14/02/2020,12:00,56.0,1274.0,142.0,1472.0,1,1,0.0,,,
38,15/02/2020,12:00,56.0,1312.0,149.0,1517.0,1,1,0.0,,,
39,16/02/2020,12:00,57.0,1341.0,136.0,1534.0,1,2,0.0,,,
40,17/02/2020,12:00,60.0,1366.0,123.0,1549.0,1,2,0.0,,,
41,18/02/2020,12:00,61.0,1384.0,133.0,1578.0,1,4,0.0,,,
42,19/02/2020,12:00,63.0,1417.0,129.0,1609.0,2,5,0.0,,,
43,20/02/2020,12:00,67.0,1448.0,113.0,1628.0,2,5,0.0,,,
44,21/02/2020,12:00,68.0,1472.0,111.0,1652.0,2,6,1.0,,,
45,22/02/2020,12:00,68.0,1494.0,108.0,1671.0,2,11,1.0,,,
46,23/02/2020,12:00,74.0,1510.0,119.0,1703.0,2,12,0.0,,,
47,24/02/2020,12:00,77.0,1538.0,116.0,1731.0,2,19,0.0,,,
48,25/02/2020,12:00,85.0,1566.0,112.0,1763.0,2,18,0.0,,,
49,26/02/2020,12:00,91.0,1601.0,128.0,1820.0,2,24,0.0,,,
50,27/02/2020,12:00,92.0,1663.0,134.0,1889.0,2,26,0.0,,,
51,28/02/2020,12:00,94.0,1718.0,124.0,1936.0,2,30,0.0,,,
52,29/02/2020,12:00,94.0,1770.0,120.0,1984.0,2,33,0.0,,,
53,01/03/2020,12:00,97.0,1805.0,129.0,2033.0,2,36,2.0,,,
54,02/03/2020,12:00,99.0,1853.0,135.0,2088.0,2,36,1.0,,,
55,03/03/2020,12:00,100.0,1898.0,136.0,2135.0,2,37,1.0,,,
56,04/03/2020,12:00,103.0,1940.0,134.0,2178.0,2,43,1.0,,,
57,05/03/2020,12:00,104.0,1979.0,127.0,2211.0,2,46,1.0,,,
58,06/03/2020,12:00,106.0,2011.0,131.0,2249.0,2,51,1.0,,,
59,07/03/2020,12:00,108.0,2055.0,117.0,2281.0,2,55,1.0,,,
60,08/03/2020,12:00,113.0,2079.0,113.0,2306.0,3,59,1.0,,,
61,09/03/2020,12:00,115.0,2096.0,134.0,2346.0,3,60,1.0,,,
62,10/03/2020,12:00,117.0,2132.0,136.0,2386.0,3,65,1.0,,,
63,11/03/2020,12:00,129.0,2156.0,146.0,2432.0,3,67,1.0,,,
64,12/03/2020,12:00,130.0,2190.0,155.0,2476.0,3,75,1.0,,,
65,13/03/2020,12:00,132.0,2234.0,156.0,2523.0,4,78,1.0,,,
66,14/03/2020,12:00,139.0,2288.0,153.0,2581.0,4,81,1.0,,,
67,15/03/2020,12:00,147.0,2330.0,167.0,2645.0,4,84,1.0,,,
68,16/03/2020,12:00,156.0,2395.0,174.0,2726.0,4,88,1.0,,,
69,17/03/2020,12:00,164.0,2451.0,270.0,2886.0,4,92,1.0,,,
70,18/03/2020,12:00,184.0,2636.0,238.0,3059.0,4,95,1.0,,,
71,19/03/2020,12:00,206.0,2752.0,362.0,3321.0,4,98,1.0,,,
72,20/03/2020,12:00,250.0,3046.0,291.0,3588.0,4,98,1.0,,,
73,21/03/2020,16:00,273.0,3248.0,311.0,3831.0,4,100,1.0,,,
74,22/03/2020,16:00,317.0,3327.0,464.0,4096.0,4,100,1.0,,,
75,23/03/2020,16:00,351.0,3647.0,310.0,4309.0,4,101,1.0,,,
76,24/03/2020,16:00,382.0,3881.0,293.0,4557.0,4,102,1.0,,,
77,25/03/2020,16:00,407.0,4054.0,301.0,4756.0,4,106,1.0,,,
78,26/03/2020,16:00,452.0,4251.0,262.0,4966.0,4,110,1.0,,,
79,27/03/2020,16:00,494.0,4573.0,224.0,5292.0,4,111,1.0,,,
80,28/03/2020,12:00,526.0,4834.0,233.0,5594.0,4,112,1.0,,,
81,29/03/2020,12:00,577.0,5023.0,197.0,5798.0,4,118,1.0,,,
82,30/03/2020,12:00,623.0,5181.0,184.0,5989.0,4,124,1.0,,,
83,31/03/2020,12:00,680.0,5393.0,197.0,6271.0,4,128,1.0,,,
84,01/04/2020,12:00,737.0,5564.0,149.0,6451.0,4,147,1.0,,,
85,02/04/2020,12:00,784.0,5671.0,141.0,6597.0,4,154,1.0,,,
86,03/04/2020,12:00,831.0,5757.0,133.0,6722.0,4,173,1.0,,,
87,04/04/2020,12:00,853.0,5883.0,151.0,6888.0,4,186,1.0,,,
88,05/04/2020,12:00,882.0,6057.0,132.0,7072.0,4,206,1.0,,,
89,06/04/2020,12:00,914.0,,,,4,216,1.0,12.0,,
90,07/04/2020,12:00,935.0,,,,4,236,1.0,14.0,,
91,08/04/2020,12:00,960.0,,,,4,264,1.0,14.0,,
92,09/04/2020,12:00,973.0,,,,4,293,1.0,14.0,,
93,10/04/2020,12:00,989.0,,,,4,309,1.0,15.0,,
94,11/04/2020,12:00,1000.0,,,,4,336,1.0,14.0,,
95,12/04/2020,12:00,1004.0,,,,4,360,1.0,13.0,,
96,13/04/2020,12:00,1009.0,,,,4,397,1.0,13.0,,
97,14/04/2020,12:00,1012.0,,,,4,434,1.0,13.0,,
98,15/04/2020,12:00,1016.0,,,,4,459,1.0,10.0,,
99,16/04/2020,12:00,1017.0,,,,4,485,1.0,9.0,,
100,17/04/2020,12:00,1021.0,,,,4,532,1.0,9.0,,
101,18/04/2020,12:00,1023.0,,,,4,568,1.0,9.0,,
102,19/04/2020,12:00,1025.0,,,,4,602,1.0,8.0,,
103,20/04/2020,12:00,1025.0,,,,4,630,1.0,8.0,,
104,21/04/2020,12:00,1029.0,,,,4,650,1.0,8.0,,
105,22/04/2020,12:00,1033.0,,,,4,678,1.0,8.0,,
106,23/04/2020,12:00,1035.0,,,,4,699,1.0,9.0,,
107,24/04/2020,12:00,1035.0,,,,4,725,1.0,7.0,,
108,25/04/2020,12:00,1037.0,,,,4,753,1.0,4.0,,
109,26/04/2020,12:00,1037.0,,,,4,772,1.0,4.0,,
110,27/04/2020,12:00,1037.0,,,,4,787,1.0,4.0,,
111,28/04/2020,12:00,1037.0,,,,4,811,1.0,4.0,,
112,29/04/2020,12:00,1037.0,,,,4,830,1.0,4.0,,
113,30/04/2020,12:00,1037.0,,,,4,846,1.0,4.0,,
114,01/05/2020,12:00,1039.0,,,,4,859,1.0,4.0,,
115,02/05/2020,12:00,1039.0,,,,4,864,1.0,4.0,,
116,03/05/2020,12:00,1039.0,,,,4,879,1.0,3.0,,
117,04/05/2020,12:00,1040.0,,,,4,900,1.0,1.0,,
118,05/05/2020,12:00,1040.0,,,,4,920,1.0,1.0,,
119,06/05/2020,12:00,1040.0,,,,4,932,1.0,2.0,,
120,07/05/2020,12:00,1044.0,,,,4,944,1.0,1.0,,
121,08/05/2020,12:00,1044.0,,,,4,960,1.0,1.0,,
122,09/05/2020,12:00,1044.0,,,,4,967,1.0,1.0,,
123,10/05/2020,12:00,1047.0,,,,4,982,1.0,1.0,,
124,11/05/2020,12:00,1047.0,,,,4,985,1.0,1.0,,
125,12/05/2020,12:00,1047.0,,,,4,991,1.0,1.0,,
126,13/05/2020,12:00,1050.0,,,,4,1008,1.0,1.0,,
127,14/05/2020,12:00,1051.0,,,,4,1009,1.0,1.0,,
128,15/05/2020,12:00,1052.0,,,,4,1019,1.0,1.0,,
129,16/05/2020,12:00,1052.0,,,,4,1022,1.0,1.0,,
130,17/05/2020,12:00,1055.0,,,,4,1024,1.0,1.0,,
131,18/05/2020,12:00,1055.0,,,,4,1025,1.0,1.0,,
132,19/05/2020,12:00,1055.0,,,,4,1025,1.0,1.0,,
133,20/05/2020,12:00,1055.0,,,,4,1026,1.0,1.0,,
